72A 	-4500	0
72B 	-4340	160
72C 	-4135	365
72D 	-4500	155
72E 	-4345	0
72F 	-4443	366
72G 	-4192	0
72H 	-4135	155
73A 	-4000	0
73B 	-3840	160
73C 	-3635	365
73D 	-4000	155
73E 	-3845	0
73F 	-3845	366
73G 	-3692	0
73H 	-3635	155
74A 	-3500	0
74B 	-3340	160
74C 	-3135	365
74D 	-3500	155
74E 	-3345	0
74F 	-3290	366
74G 	-3192	0
74H 	-3135	155
75A 	-3000	0
75B 	-2840	160
75C 	-2635	365
75D 	-3000	155
75E 	-2845	0
75F 	-3000	310
75G 	-2635	0
75H 	-2635	155
76A 	-2500	0
76B 	-2340	160
76C 	-2135	365
76D 	-2500	155
76E 	-2345	0
76F 	-2500	366
76G 	-2135	0
76H 	-2135	155
